epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2027.41,0.58454,0.42455,0.90164,0.95021,0.99639,0.98944,0.80319,0.7734,0.4367,0.96201,0.00035155,0.00035155,0.00035155
133,2040.32,0.58012,0.41932,0.89069,0.95972,0.99123,0.98944,0.74991,0.92451,0.46267,1.04149,0.0003466,0.0003466,0.0003466
134,2051.88,0.54882,0.40233,0.88069,0.96224,0.99135,0.97278,0.76952,0.81414,0.44279,0.97443,0.00034165,0.00034165,0.00034165
135,2064.44,0.55616,0.39919,0.88304,0.96422,0.98775,0.97278,0.76287,0.83716,0.44776,0.99689,0.0003367,0.0003367,0.0003367
136,2075.02,0.5398,0.38587,0.87692,0.96513,0.98452,0.97278,0.78029,0.79774,0.45699,0.99218,0.00033175,0.00033175,0.00033175
137,2088.61,0.5576,0.40224,0.88062,0.96254,0.98431,0.97833,0.77557,0.82288,0.45971,1.00379,0.0003268,0.0003268,0.0003268
138,2101,0.5675,0.3977,0.88578,0.96151,0.9846,0.97278,0.77848,0.77396,0.45482,0.97391,0.00032185,0.00032185,0.00032185
139,2114.81,0.54031,0.39915,0.88026,0.95954,0.98151,0.97833,0.79568,0.7314,0.44764,0.95704,0.0003169,0.0003169,0.0003169
140,2129.68,0.53696,0.38286,0.88497,0.96026,0.97145,0.97833,0.78791,0.74447,0.46274,0.98135,0.00031195,0.00031195,0.00031195
141,2144.14,0.5482,0.4038,0.88179,0.95672,0.97645,0.97278,0.74232,0.86481,0.48043,1.01657,0.000307,0.000307,0.000307
142,2157.66,0.52496,0.37983,0.86437,0.9328,0.98612,0.96153,0.7276,0.89592,0.48592,1.03181,0.00030205,0.00030205,0.00030205
143,2172.83,0.52214,0.39025,0.86886,0.93128,0.9637,0.9725,0.7433,0.90986,0.48215,1.05165,0.0002971,0.0002971,0.0002971
144,2187.06,0.53954,0.39551,0.87953,0.95342,0.98271,0.98389,0.74162,0.89089,0.45427,1.04568,0.00029215,0.00029215,0.00029215
145,2197.65,0.55118,0.39252,0.86929,0.95707,0.98543,0.98389,0.78437,0.75867,0.42098,0.96698,0.0002872,0.0002872,0.0002872
146,2210.04,0.54782,0.39283,0.86777,0.95798,0.98654,0.97833,0.79234,0.7097,0.41948,0.94013,0.00028225,0.00028225,0.00028225
147,2220.99,0.54076,0.38513,0.86463,0.9584,0.98808,0.97278,0.76658,0.78512,0.42901,0.97392,0.0002773,0.0002773,0.0002773
148,2231.48,0.54893,0.39421,0.87881,0.95773,0.99182,0.97278,0.77065,0.77197,0.42579,0.95766,0.00027235,0.00027235,0.00027235
149,2243.97,0.52461,0.37313,0.85902,0.95816,0.99317,0.97278,0.756,0.8252,0.43577,0.98169,0.0002674,0.0002674,0.0002674
150,2255.22,0.53806,0.376,0.87257,0.95839,0.98902,0.97278,0.77266,0.76239,0.42454,0.9543,0.00026245,0.00026245,0.00026245
151,2267.89,0.52286,0.38023,0.86788,0.9569,0.98783,0.97833,0.77341,0.78785,0.43142,0.96412,0.0002575,0.0002575,0.0002575
152,2281.2,0.52167,0.3717,0.866,0.95671,0.98843,0.98389,0.7733,0.79963,0.4318,0.98177,0.00025255,0.00025255,0.00025255
153,2293.91,0.52589,0.36733,0.87134,0.95856,0.98838,0.98389,0.77709,0.79507,0.43285,0.97328,0.0002476,0.0002476,0.0002476
154,2306.67,0.50936,0.38009,0.86809,0.95863,0.98689,0.97833,0.79673,0.73115,0.43025,0.94783,0.00024265,0.00024265,0.00024265
155,2318.82,0.50284,0.36282,0.86005,0.96072,0.98497,0.97833,0.7929,0.76541,0.43496,0.97372,0.0002377,0.0002377,0.0002377
156,2331.04,0.50427,0.3788,0.85938,0.96064,0.98518,0.98944,0.78385,0.77049,0.44105,0.96635,0.00023275,0.00023275,0.00023275
157,2342.64,0.52786,0.38208,0.8664,0.96294,0.98516,0.995,0.78319,0.82421,0.43487,0.98335,0.0002278,0.0002278,0.0002278
158,2354.03,0.49973,0.3672,0.86106,0.96248,0.98488,0.995,0.80645,0.79584,0.42701,0.97115,0.00022285,0.00022285,0.00022285
159,2366.37,0.50692,0.36958,0.8645,0.96379,0.98435,0.995,0.7884,0.82959,0.42429,0.98392,0.0002179,0.0002179,0.0002179
160,2377.14,0.52082,0.37449,0.86579,0.96529,0.98363,0.995,0.78036,0.8318,0.42802,0.97815,0.00021295,0.00021295,0.00021295
161,2388.87,0.51018,0.37081,0.86038,0.96462,0.98449,0.995,0.79474,0.81183,0.42682,0.96627,0.000208,0.000208,0.000208
162,2399.57,0.52362,0.36833,0.87848,0.95882,0.98729,0.98389,0.79411,0.77499,0.42249,0.95427,0.00020305,0.00020305,0.00020305
163,2410.02,0.49321,0.37242,0.85592,0.95799,0.99006,0.97833,0.79192,0.74185,0.41997,0.94893,0.0001981,0.0001981,0.0001981
164,2423.83,0.49747,0.37089,0.86341,0.96058,0.98777,0.97833,0.77366,0.80416,0.44382,0.97867,0.00019315,0.00019315,0.00019315
165,2437.53,0.50904,0.37206,0.86795,0.96148,0.98716,0.97833,0.77544,0.81606,0.43679,0.97314,0.0001882,0.0001882,0.0001882
166,2450.61,0.48254,0.35968,0.85133,0.96167,0.98597,0.97833,0.78496,0.78542,0.41543,0.95964,0.00018325,0.00018325,0.00018325
